YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2024-05,WEEKENDS/HOLIDAY,22,TRAIN,NS28,398,174
2024-05,WEEKDAY,22,TRAIN,NS28,568,437
2024-05,WEEKENDS/HOLIDAY,0,TRAIN,DT10/TE11,36,175
2024-05,WEEKDAY,0,TRAIN,DT10/TE11,81,393
2024-05,WEEKENDS/HOLIDAY,10,TRAIN,EW16/NE3/TE17,9371,10651
2024-05,WEEKDAY,10,TRAIN,EW16/NE3/TE17,26454,37174
2024-05,WEEKENDS/HOLIDAY,9,TRAIN,CC14,3699,1672
2024-05,WEEKDAY,9,TRAIN,CC14,11262,8305
2024-05,WEEKENDS/HOLIDAY,14,TRAIN,EW27,23830,24621
2024-05,WEEKDAY,14,TRAIN,EW27,31615,37883
2024-05,WEEKDAY,0,TRAIN,NS27/CE2/TE20,27,153
2024-05,WEEKENDS/HOLIDAY,0,TRAIN,NS27/CE2/TE20,8,86
2024-05,WEEKDAY,18,TRAIN,DT27,38880,21011
2024-05,WEEKENDS/HOLIDAY,18,TRAIN,DT27,5594,5047
2024-05,WEEKDAY,7,TRAIN,BP10,14372,2926
2024-05,WEEKENDS/HOLIDAY,7,TRAIN,BP10,1298,667
2024-05,WEEKENDS/HOLIDAY,15,TRAIN,NE10,7480,7595
2024-05,WEEKDAY,15,TRAIN,NE10,16106,15560
2024-05,WEEKDAY,18,TRAIN,EW22,37111,28632
2024-05,WEEKENDS/HOLIDAY,18,TRAIN,EW22,2898,3242
2024-05,WEEKDAY,15,TRAIN,CC25,6695,5063
2024-05,WEEKENDS/HOLIDAY,15,TRAIN,CC25,3162,2568
2024-05,WEEKDAY,12,TRAIN,CE1/DT16,20037,38226
2024-05,WEEKENDS/HOLIDAY,12,TRAIN,CE1/DT16,13210,28313
2024-05,WEEKENDS/HOLIDAY,10,TRAIN,SW6,2503,1042
2024-05,WEEKDAY,10,TRAIN,SW6,4007,1577
2024-05,WEEKDAY,17,TRAIN,DT31,13526,18095
2024-05,WEEKENDS/HOLIDAY,17,TRAIN,DT31,4665,4629
2024-05,WEEKDAY,15,TRAIN,CC14,12414,7814
2024-05,WEEKENDS/HOLIDAY,15,TRAIN,CC14,2616,3107
2024-05,WEEKDAY,14,TRAIN,CC16,7871,6475
2024-05,WEEKENDS/HOLIDAY,14,TRAIN,CC16,3734,3105
2024-05,WEEKDAY,10,TRAIN,EW11,19538,18294
2024-05,WEEKENDS/HOLIDAY,10,TRAIN,EW11,9223,9308
2024-05,WEEKDAY,6,TRAIN,NS24/NE6/CC1,3615,9065
2024-05,WEEKENDS/HOLIDAY,6,TRAIN,NS24/NE6/CC1,1185,2265
2024-05,WEEKENDS/HOLIDAY,22,TRAIN,TE15,3402,1477
2024-05,WEEKDAY,22,TRAIN,TE15,6983,2965
2024-05,WEEKDAY,0,TRAIN,EW19,110,716
2024-05,WEEKENDS/HOLIDAY,0,TRAIN,EW19,57,345
2024-05,WEEKENDS/HOLIDAY,10,TRAIN,EW21/CC22,10570,9218
2024-05,WEEKDAY,10,TRAIN,EW21/CC22,12902,23164
2024-05,WEEKDAY,8,TRAIN,CC8,27937,12845
2024-05,WEEKENDS/HOLIDAY,8,TRAIN,CC8,3973,3238
2024-05,WEEKENDS/HOLIDAY,17,TRAIN,NE7/DT12,24843,28634
2024-05,WEEKDAY,17,TRAIN,NE7/DT12,50633,37034
2024-05,WEEKDAY,17,TRAIN,EW33,16401,8694
2024-05,WEEKENDS/HOLIDAY,17,TRAIN,EW33,3317,2684
2024-05,WEEKDAY,11,TRAIN,NS7,21975,15728
2024-05,WEEKENDS/HOLIDAY,11,TRAIN,NS7,11730,12768
2024-05,WEEKDAY,16,TRAIN,SW4,2253,3739
2024-05,WEEKENDS/HOLIDAY,16,TRAIN,SW4,1570,1682
2024-05,WEEKDAY,10,TRAIN,CC5,2525,5040
2024-05,WEEKENDS/HOLIDAY,10,TRAIN,CC5,1396,2507
2024-05,WEEKDAY,13,TRAIN,CC23,14401,18201
2024-05,WEEKENDS/HOLIDAY,13,TRAIN,CC23,2657,2823
2024-05,WEEKDAY,22,TRAIN,EW33,1186,2736
2024-05,WEEKENDS/HOLIDAY,22,TRAIN,EW33,869,1842
2024-05,WEEKENDS/HOLIDAY,14,TRAIN,CC21,6879,5499
2024-05,WEEKDAY,14,TRAIN,CC21,10467,9178
2024-05,WEEKDAY,12,TRAIN,TE16,6801,4801
2024-05,WEEKENDS/HOLIDAY,12,TRAIN,TE16,4032,3104
2024-05,WEEKENDS/HOLIDAY,18,TRAIN,EW24/NS1,52344,49571
2024-05,WEEKDAY,18,TRAIN,EW24/NS1,237750,170532
2024-05,WEEKDAY,7,TRAIN,NE10,29464,37969
2024-05,WEEKENDS/HOLIDAY,7,TRAIN,NE10,4329,3505
2024-05,WEEKDAY,8,TRAIN,EW22,17163,75382
2024-05,WEEKENDS/HOLIDAY,8,TRAIN,EW22,2371,2417
2024-05,WEEKENDS/HOLIDAY,0,TRAIN,NS8,592,1436
2024-05,WEEKDAY,0,TRAIN,NS8,691,3197
2024-05,WEEKENDS/HOLIDAY,18,TRAIN,NS14,15976,18529
2024-05,WEEKDAY,18,TRAIN,NS14,49714,107714
2024-05,WEEKENDS/HOLIDAY,12,TRAIN,EW17,13893,12917
2024-05,WEEKDAY,12,TRAIN,EW17,23190,24626
2024-05,WEEKENDS/HOLIDAY,11,TRAIN,TE22,1244,3643
2024-05,WEEKDAY,11,TRAIN,TE22,2431,3950
2024-05,WEEKDAY,17,TRAIN,DT21,14493,9680
2024-05,WEEKENDS/HOLIDAY,17,TRAIN,DT21,4934,3733
2024-05,WEEKENDS/HOLIDAY,19,TRAIN,NE12/CC13,30460,37931
2024-05,WEEKDAY,19,TRAIN,NE12/CC13,69732,138576
2024-05,WEEKDAY,6,TRAIN,EW31,5378,11727
2024-05,WEEKENDS/HOLIDAY,6,TRAIN,EW31,1814,2746
2024-05,WEEKENDS/HOLIDAY,15,TRAIN,EW7,7271,9032
2024-05,WEEKDAY,15,TRAIN,EW7,10611,15438
2024-05,WEEKENDS/HOLIDAY,0,TRAIN,NE17/PTC,252,1742
2024-05,WEEKDAY,0,TRAIN,NE17/PTC,483,3710
2024-05,WEEKDAY,13,TRAIN,BP12,3572,1710
2024-05,WEEKENDS/HOLIDAY,13,TRAIN,BP12,1291,802
2024-05,WEEKENDS/HOLIDAY,14,TRAIN,NS17/CC15,23603,21887
2024-05,WEEKDAY,14,TRAIN,NS17/CC15,44571,39933
2024-05,WEEKENDS/HOLIDAY,16,TRAIN,CC10/DT26,7912,6583
